,item_id,method,question,answer_key,answer_text,options,context_id,title,is_vietnam,bloom,wh_type,verifier_score
1,itm_85546a648b01,rag_llm,Chiến tranh Đông Dương bắt đầu chính thức vào ngày nào?,C,19 tháng 12 năm 1946,"[{'label': 'A', 'text': '1 tháng 1 năm 1950', 'is_correct': False, 'entity_type': None, 'provenance': 'generated'}, {'label': 'B', 'text': '13 tháng 9 năm 1945', 'is_correct': False, 'entity_type': None, 'provenance': 'generated'}, {'label': 'C', 'text': '19 tháng 12 năm 1946', 'is_correct': True, 'entity_type': None, 'provenance': 'context_span'}, {'label': 'D', 'text': '20 tháng 7 năm 1954', 'is_correct': False, 'entity_type': None, 'provenance': 'generated'}]",ctx_68d72183f300,Chiến tranh Đông Dương,True,nhan_biet,thoi_gian,0.9189
2,itm_15757acf46b0,rag_llm,Thực dân Pháp chỉ tồn tại đến ngày nào ở Đông Dương?,D,9 tháng 3 năm 1945,"[{'label': 'A', 'text': '9 tháng 3 năm 1940', 'is_correct': False, 'entity_type': None, 'provenance': 'generated'}, {'label': 'B', 'text': '9 tháng 3 năm 1946', 'is_correct': False, 'entity_type': None, 'provenance': 'generated'}, {'label': 'C', 'text': '9 tháng 3 năm 1954', 'is_correct': False, 'entity_type': None, 'provenance': 'generated'}, {'label': 'D', 'text': '9 tháng 3 năm 1945', 'is_correct': True, 'entity_type': None, 'provenance': 'context_span'}]",ctx_33b4a39f55ac,Chiến tranh Đông Dương,True,nhan_biet,thoi_gian,0.9052
3,itm_f2f6b656c5ea,rag_llm,Ai là đại sứ Nhật đã trao tối hậu thư cho Đô đốc Decoux?,B,Matsumoto,"[{'label': 'A', 'text': 'Yamamoto', 'is_correct': False, 'entity_type': None, 'provenance': 'generated'}, {'label': 'B', 'text': 'Matsumoto', 'is_correct': True, 'entity_type': None, 'provenance': 'context_span'}, {'label': 'C', 'text': 'Hiroshi', 'is_correct': False, 'entity_type': None, 'provenance': 'generated'}, {'label': 'D', 'text': 'Tanaka', 'is_correct': False, 'entity_type': None, 'provenance': 'generated'}]",ctx_33b4a39f55ac,Chiến tranh Đông Dương,True,nhan_biet,nhan_vat,0.8913
4,itm_330a7a074143,rule_based,Người nào ban hành Edward I của Anh?,D,Edward,"[{'label': 'A', 'text': 'Robert', 'is_correct': False, 'entity_type': 'PER', 'provenance': 'kb'}, {'label': 'B', 'text': 'Edward the Confessor', 'is_correct': False, 'entity_type': 'PER', 'provenance': 'kb'}, {'label': 'C', 'text': 'Jeanne Bécu', 'is_correct': False, 'entity_type': 'PER', 'provenance': 'kb'}, {'label': 'D', 'text': 'Edward', 'is_correct': True, 'entity_type': 'PER', 'provenance': 'context_span'}]",ctx_de88cf83ea6c,Edward I của Anh,False,nhan_biet,nhan_vat,0.8966
5,itm_fb88aefd3526,rag_llm,Karl Marx trở thành học sinh của trường trung học Trier vào năm nào?,C,1830,"[{'label': 'A', 'text': '1772', 'is_correct': False, 'entity_type': None, 'provenance': 'generated'}, {'label': 'B', 'text': '1848', 'is_correct': False, 'entity_type': None, 'provenance': 'generated'}, {'label': 'C', 'text': '1830', 'is_correct': True, 'entity_type': None, 'provenance': 'context_span'}, {'label': 'D', 'text': '1850', 'is_correct': False, 'entity_type': None, 'provenance': 'generated'}]",ctx_abd47acb79f1,Karl Marx,False,nhan_biet,thoi_gian,0.894
6,itm_37695e6298cf,rag_llm,Ai là nhà tư tưởng người Đức gốc Do thái nổi tiếng trong lịch sử?,C,Karl Heinrich Marx,"[{'label': 'A', 'text': 'Friedrich Engels', 'is_correct': False, 'entity_type': None, 'provenance': 'generated'}, {'label': 'B', 'text': 'Max Weber', 'is_correct': False, 'entity_type': None, 'provenance': 'generated'}, {'label': 'C', 'text': 'Karl Heinrich Marx', 'is_correct': True, 'entity_type': None, 'provenance': 'context_span'}, {'label': 'D', 'text': 'Leon Trotsky', 'is_correct': False, 'entity_type': None, 'provenance': 'generated'}]",ctx_3c3588039a66,Karl Marx,False,nhan_biet,nhan_vat,0.9098
7,itm_2cc54418dee4,rag_llm,Ai là người chỉ trích các lý thuyết của Marx là không có tính khả thi?,C,Karl Popper,"[{'label': 'A', 'text': 'Max Weber', 'is_correct': False, 'entity_type': None, 'provenance': 'generated'}, {'label': 'B', 'text': 'Jean-Paul Sartre', 'is_correct': False, 'entity_type': None, 'provenance': 'generated'}, {'label': 'C', 'text': 'Karl Popper', 'is_correct': True, 'entity_type': None, 'provenance': 'context_span'}, {'label': 'D', 'text': 'Friedrich Engels', 'is_correct': False, 'entity_type': None, 'provenance': 'generated'}]",ctx_e0cd86c36906,Karl Marx,False,nhan_biet,nhan_vat,0.9059
8,itm_6c648ab71c57,rule_based,Năm sinh của Karl Marx là năm nào?,A,1818,"[{'label': 'A', 'text': '1818', 'is_correct': True, 'entity_type': 'YEAR', 'provenance': 'context_span'}, {'label': 'B', 'text': '1840', 'is_correct': False, 'entity_type': 'YEAR', 'provenance': 'kb'}, {'label': 'C', 'text': '1814', 'is_correct': False, 'entity_type': 'YEAR', 'provenance': 'kb'}, {'label': 'D', 'text': '1828', 'is_correct': False, 'entity_type': 'YEAR', 'provenance': 'kb'}]",ctx_3c3588039a66,Karl Marx,False,nhan_biet,thoi_gian,0.9116
9,itm_1ebef5e3728e,rule_based,Karl Marx sống trong thế kỷ nào?,C,ngày 8 tháng 3 năm 1881,"[{'label': 'A', 'text': 'ngày 28 tháng 8 năm 1844', 'is_correct': False, 'entity_type': 'DATE', 'provenance': 'kb'}, {'label': 'B', 'text': '20/5/1810', 'is_correct': False, 'entity_type': 'DATE', 'provenance': 'kb'}, {'label': 'C', 'text': 'ngày 8 tháng 3 năm 1881', 'is_correct': True, 'entity_type': 'DATE', 'provenance': 'context_span'}, {'label': 'D', 'text': 'ngày 12 tháng 4 năm 1861', 'is_correct': False, 'entity_type': 'DATE', 'provenance': 'kb'}]",ctx_48ca5d9a32ea,Karl Marx,False,nhan_biet,thoi_gian,0.8918
10,itm_8cd6d869d1d1,rag_llm,Ai là người đã phát động nhiều chiến dịch quân sự chống trả Hung Nô?,D,Hán Vũ Đế Lưu Triệt,"[{'label': 'A', 'text': 'Vua Hung Nô', 'is_correct': False, 'entity_type': None, 'provenance': 'generated'}, {'label': 'B', 'text': 'Hán Cảnh Đế Lưu Khải', 'is_correct': False, 'entity_type': None, 'provenance': 'generated'}, {'label': 'C', 'text': 'Người Tiên Ti', 'is_correct': False, 'entity_type': None, 'provenance': 'generated'}, {'label': 'D', 'text': 'Hán Vũ Đế Lưu Triệt', 'is_correct': True, 'entity_type': None, 'provenance': 'context_span'}]",ctx_26651a0d6754,Nhà Hán,False,nhan_biet,nhan_vat,0.8933
