,item_id,method,question,answer_key,answer_text,options,context_id,title,is_vietnam,bloom,wh_type,verifier_score
1,itm_14be0ec8ad0b,rule_based,Địa điểm nào liên quan đến Edward I của Anh?,A,Acre,"[{'label': 'A', 'text': 'Acre', 'is_correct': True, 'entity_type': 'LOC', 'provenance': 'context_span'}, {'label': 'B', 'text': 'xứ Artois', 'is_correct': False, 'entity_type': 'LOC', 'provenance': 'kb'}, {'label': 'C', 'text': 'Dijon', 'is_correct': False, 'entity_type': 'LOC', 'provenance': 'kb'}, {'label': 'D', 'text': 'cứ Không quân Yokota', 'is_correct': False, 'entity_type': 'LOC', 'provenance': 'kb'}]",ctx_de2f706182f2,Edward I của Anh,False,nhan_biet,dia_diem,0.8308
2,itm_cf6c49eabb85,rule_based,Edward I của Anh sống trong thế kỷ nào?,B,1284,"[{'label': 'A', 'text': '1291', 'is_correct': False, 'entity_type': 'YEAR', 'provenance': 'kb'}, {'label': 'B', 'text': '1284', 'is_correct': True, 'entity_type': 'YEAR', 'provenance': 'context_span'}, {'label': 'C', 'text': '1280', 'is_correct': False, 'entity_type': 'YEAR', 'provenance': 'kb'}, {'label': 'D', 'text': '1258', 'is_correct': False, 'entity_type': 'YEAR', 'provenance': 'kb'}]",ctx_75c2b418120d,Edward I của Anh,False,nhan_biet,thoi_gian,0.8551
3,itm_ab848852c53b,rule_based,Edward I của Anh diễn ra tại đâu?,A,Scotland,"[{'label': 'A', 'text': 'Scotland', 'is_correct': True, 'entity_type': 'LOC', 'provenance': 'context_span'}, {'label': 'B', 'text': 'Lạc Dương', 'is_correct': False, 'entity_type': 'LOC', 'provenance': 'kb'}, {'label': 'C', 'text': 'Armenia', 'is_correct': False, 'entity_type': 'LOC', 'provenance': 'kb'}, {'label': 'D', 'text': 'Kayı', 'is_correct': False, 'entity_type': 'LOC', 'provenance': 'kb'}]",ctx_ed64f0198b45,Edward I của Anh,False,nhan_biet,dia_diem,0.8334
4,itm_7760437d2858,rule_based,Người nào thực hiện Edward I của Anh?,A,Edward I,"[{'label': 'A', 'text': 'Edward I', 'is_correct': True, 'entity_type': 'PER', 'provenance': 'context_span'}, {'label': 'B', 'text': 'Gene Ralph Garthwaite', 'is_correct': False, 'entity_type': 'PER', 'provenance': 'kb'}, {'label': 'C', 'text': 'de Fleury', 'is_correct': False, 'entity_type': 'PER', 'provenance': 'kb'}, {'label': 'D', 'text': 'Lusius Quietus', 'is_correct': False, 'entity_type': 'PER', 'provenance': 'kb'}]",ctx_40b36f9a4584,Edward I của Anh,False,nhan_biet,nhan_vat,0.8341
5,itm_c18a21abbaad,rule_based,Nhân vật nào liên quan đến Edward I của Anh?,A,Edward,"[{'label': 'A', 'text': 'Edward', 'is_correct': True, 'entity_type': 'PER', 'provenance': 'context_span'}, {'label': 'B', 'text': 'Yazdegerd III', 'is_correct': False, 'entity_type': 'PER', 'provenance': 'kb'}, {'label': 'C', 'text': 'Henry Sư Tử', 'is_correct': False, 'entity_type': 'PER', 'provenance': 'kb'}, {'label': 'D', 'text': 'Michel Melot', 'is_correct': False, 'entity_type': 'PER', 'provenance': 'kb'}]",ctx_9e81381d8d33,Edward I của Anh,False,nhan_biet,nhan_vat,0.831
6,itm_99e474eb8cc5,rule_based,Edward I của Anh diễn ra tại đâu?,C,Anh,"[{'label': 'A', 'text': 'Giả Hồ', 'is_correct': False, 'entity_type': 'LOC', 'provenance': 'kb'}, {'label': 'B', 'text': 'Mitteldeutschland', 'is_correct': False, 'entity_type': 'LOC', 'provenance': 'kb'}, {'label': 'C', 'text': 'Anh', 'is_correct': True, 'entity_type': 'LOC', 'provenance': 'context_span'}, {'label': 'D', 'text': 'New Delhi', 'is_correct': False, 'entity_type': 'LOC', 'provenance': 'kb'}]",ctx_638647aa9c21,Edward I của Anh,False,nhan_biet,dia_diem,0.829
7,itm_e5ac0736e71d,vit5_ft,Điều gì đã làm cho Vương quốc Anh trở nên mạnh mẽ hơn?,A,"Vương quốc Anh trở nên một thế lực có ảnh hưởng toàn cầu, và những tranh chấp tôn giáo luôn sục sôi trong nước","[{'label': 'A', 'text': 'Vương quốc Anh trở nên một thế lực có ảnh hưởng toàn cầu, và những tranh chấp tôn giáo luôn sục sôi trong nước', 'is_correct': True, 'entity_type': None, 'provenance': 'context_span'}, {'label': 'B', 'text': 'hoặc Good Queen Bess', 'is_correct': False, 'entity_type': None, 'provenance': 'generated'}, {'label': 'C', 'text': 'Nữ vương Đồng trinh (The Virgin Queen', 'is_correct': False, 'entity_type': None, 'provenance': 'generated'}, {'label': 'D', 'text': 'Gloriana', 'is_correct': False, 'entity_type': None, 'provenance': 'generated'}]",ctx_ddc2dc75acc1,Elizabeth I của Anh,False,nhan_biet,nhan_vat,0.8449
8,itm_89be00fb359c,vit5_ft,Vào năm nào thì người con thứ ba của vua Trần Minh Tông liên kết với nhau?,B,Năm 1370,"[{'label': 'A', 'text': 'năm 1369  Dương Khương', 'is_correct': False, 'entity_type': None, 'provenance': 'generated'}, {'label': 'B', 'text': 'Năm 1370', 'is_correct': True, 'entity_type': None, 'provenance': 'context_span'}, {'label': 'C', 'text': 'Nhật Lễ', 'is_correct': False, 'entity_type': None, 'provenance': 'generated'}, {'label': 'D', 'text': 'Trần Dụ Tông', 'is_correct': False, 'entity_type': None, 'provenance': 'generated'}]",ctx_29054d8747a9,Hồ Quý Ly,True,nhan_biet,thoi_gian,0.8887
9,itm_37695e6298cf,rag_llm,Ai là nhà tư tưởng người Đức gốc Do thái nổi tiếng trong lịch sử?,C,Karl Heinrich Marx,"[{'label': 'A', 'text': 'Friedrich Engels', 'is_correct': False, 'entity_type': None, 'provenance': 'generated'}, {'label': 'B', 'text': 'Max Weber', 'is_correct': False, 'entity_type': None, 'provenance': 'generated'}, {'label': 'C', 'text': 'Karl Heinrich Marx', 'is_correct': True, 'entity_type': None, 'provenance': 'context_span'}, {'label': 'D', 'text': 'Leon Trotsky', 'is_correct': False, 'entity_type': None, 'provenance': 'generated'}]",ctx_3c3588039a66,Karl Marx,False,nhan_biet,nhan_vat,0.9098
10,itm_e4c57570baa6,rag_llm,Nguyên nhân nào khiến Karl Popper chỉ trích các lý thuyết của Marx?,D,Xuất phát từ một số khía cạnh lý luận lịch sử và chính trị xã hội phi khoa học của Marx,"[{'label': 'A', 'text': 'Vì Marx không đưa ra được các giải pháp thực tiễn', 'is_correct': False, 'entity_type': None, 'provenance': 'generated'}, {'label': 'B', 'text': 'Bởi vì các lý thuyết của Marx đã lỗi thời', 'is_correct': False, 'entity_type': None, 'provenance': 'generated'}, {'label': 'C', 'text': 'Do Marx không có kiến thức về kinh tế', 'is_correct': False, 'entity_type': None, 'provenance': 'generated'}, {'label': 'D', 'text': 'Xuất phát từ một số khía cạnh lý luận lịch sử và chính trị xã hội phi khoa học của Marx', 'is_correct': True, 'entity_type': None, 'provenance': 'context_span'}]",ctx_e0cd86c36906,Karl Marx,False,nhan_biet,nguyen_nhan,0.7881
